uploadID,uploadRA,uploadDEC,uploadSearchID,objID,survey,specObjID,distance_arcmin,fov_radius,IAUName,ra,dec,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,spectra,fuv_fwhm_world,nuv_fwhm_world,ra_cent,dec_cent,minObsDate,meanObsDate,maxObsDate,minObsMJD,meanObsMJD,maxObsMJD,tilename,tilenum,img,subvis,photoextractid,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact
31203,72.7367,-53.4656,229,6385693226126284700,AIS,0,0.3464113439,0.02655832283,GALEX J045055.2-532740,72.73038963,-53.46121593,2,182,182,13.0437489,0.00440301839,-999,-999,22004.0313,89.21193,-999,-999,0.0064032604,FALSE,0.0039138454,-99,72.77477,-53.4639,10/24/2006,11/14/2006,12/5/2006,54032.65267,54053.52767,54074.42492,AIS_420,50420,1,32,6385693226124181504,-99,-99,138,204.4091339,197.7090454,8
31203,72.7367,-53.4656,229,6385693226125231439,AIS,0,0.3199627011,0.02544094436,GALEX J045055.7-532739,72.73232716,-53.46094591,1,182,182,-999,-999,10.7317057,0.00132234266,-999,-999,185062.047,225.336487,0.0064032604,FALSE,-99,0.0137699433,72.77477,-53.4639,10/24/2006,11/14/2006,12/5/2006,54032.65267,54053.52767,54074.42492,AIS_420,50420,1,32,6385693226124181504,5486.782715,1381.567627,138,-99,-99,8
55864,107.186,-70.4989,340,6385587662271545345,AIS,0,0.2485782226,0.4700318575,GALEX J070841.7-702952,107.1739103,-70.49796433,1,112,0,-999,-999,11.9702415,0.00290554785,-999,-999,59142.95,158.2345,0.190708965,FALSE,-99,0.01987777,108.04269,-70.13015,1/24/2012,1/24/2012,1/24/2012,55950.76859,55950.76859,55950.76988,AIS_417,50417,1,22,6385587662270496768,1753.490356,438.9875793,1,-99,-99,-999
45229,95.7233,-56.37,303,6385552535882568139,AIS,0,0.2876653245,0.3808633387,GALEX J062255.6-562212,95.73195509,-56.37009797,2,106,106,13.6378784,0.009535179,-999,-999,12730.6445,111.776207,-999,-999,0.06403037,FALSE,0.00165580958,-99,95.70441,-56.75066,2/27/2007,2/27/2007,2/27/2007,54158.90916,54158.90916,54158.91038,AIS_416,50416,1,76,6385552535880466432,-99,-99,0,118.2628784,105.5962372,0
45229,95.7233,-56.37,303,6385552535881517197,AIS,0,0.3438732156,0.381716311,GALEX J062256.0-562209,95.73356646,-56.3692807,1,106,106,-999,-999,10.9733562,0.00190638064,-999,-999,148134.8,260.038025,0.06403037,FALSE,-99,0.05256617,95.70441,-56.75066,2/27/2007,2/27/2007,2/27/2007,54158.90916,54158.90916,54158.91038,AIS_416,50416,1,76,6385552535880466432,4391.951172,1296.44043,0,-99,-99,0
45229,95.7233,-56.37,303,6385552534808825648,AIS,0,0.2714468439,0.5647768974,GALEX J062255.5-562211,95.73145485,-56.36973586,2,108,108,12.4311037,0.00551642664,-999,-999,38686.5938,196.511749,-999,-999,0.06403037,FALSE,0.00140144455,-99,96.00894,-55.82658,2/27/2007,2/27/2007,2/27/2007,54158.90751,54158.90751,54158.90876,AIS_416,50416,1,75,6385552534806724608,-99,-99,17,359.3838501,357.5404358,0
45229,95.7233,-56.37,303,6385552534807773185,AIS,0,0.3674581949,0.5641525388,GALEX J062256.2-562210,95.73432697,-56.36954096,1,108,108,-999,-999,11.5684319,0.00246113678,-999,-999,85630.17,194.058533,0.06403037,FALSE,-99,0.0259698033,96.00894,-55.82658,2/27/2007,2/27/2007,2/27/2007,54158.90751,54158.90751,54158.90876,AIS_416,50416,1,75,6385552534806724608,2538.792725,386.4266968,17,-99,-99,0
32743,75.7058,-49.1594,244,6385517279569779016,AIS,0,0.1076105152,0.584995985,GALEX J050248.7-490936,75.70322397,-49.16001546,2,314,94,21.890379,0.558596,-999,-999,6.365759,3.274298,-999,-999,0.0108886166,FALSE,0.00237460714,-99,76.58239,-49.05521,11/18/2007,12/10/2007,1/1/2008,54422.40682,54444.65682,54466.91582,AIS_415,50415,1,9,6385517279567675392,-99,-99,136,0.05913549662,0.2598838806,0
32743,75.7058,-49.1594,244,6385517279569779000,AIS,0,0.3450779993,0.5780650377,GALEX J050251.1-490921,75.71292125,-49.15602533,2,314,94,20.02369,0.244060129,-999,-999,35.5243835,7.983504,-999,-999,0.0108886166,FALSE,0.00539902551,-99,76.58239,-49.05521,11/18/2007,12/10/2007,1/1/2008,54422.40682,54444.65682,54466.91582,AIS_415,50415,1,9,6385517279567675392,-99,-99,0,0.3300080895,0.296027571,0
32743,75.7058,-49.1594,244,6385517279569778995,AIS,0,0.4949012649,0.5838107467,GALEX J050248.6-490904,75.70283668,-49.15138256,2,314,94,14.8707371,0.018849561,-999,-999,4089.84741,70.9869461,-999,-999,0.0106960442,FALSE,0.00156049477,-99,76.58239,-49.05521,11/18/2007,12/10/2007,1/1/2008,54422.40682,54444.65682,54466.91582,AIS_415,50415,1,9,6385517279567675392,-99,-99,136,37.99313736,38.5478363,0
