HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
177171, 286.578, -52.3336, 2, 14.9531, 0.0119857, 0, 0, 0, 0, 0
182475, 291.251, -4.8875, 2, 14.2388, 0.0106002, 0, 0, 0, 0, 0
187532, 297.701, -10.7636, 3, 13.7869, 0.0077515, 0, 0, 0, 0, 0
188512, 298.827, 6.41333, 2, 17.8737, 0.0589199, 0, 0, 0, 0, 0
189296, 299.092, 56.685, 2, 11.8319, 0.00382019, 0, 0, 0, 0, 0
190422, 301.892, -55.0139, 2, 22.1845, 0.393478, 0, 0, 0, 0, 0
190422, 301.892, -55.0139, 2, 16.7873, 0.0288435, 0, 0, 0, 0, 0
191096, 301.344, 56.3372, 2, 15.1059, 0.0171026, 0, 0, 0, 0, 0
191104, 301.978, 9.39, 2, 21.1794, 0.392993, 0, 0, 0, 0, 0
196755, 309.78, 10.085, 3, 17.5253, 0.044908, 0, 0, 0, 0, 0
197963, 311.661, 16.1325, 2, 20.6755, 0.237567, 0, 0, 0, 0, 0
197963, 311.661, 16.1325, 2, 20.2589, 0.214348, 0, 0, 0, 0, 0
197964, 311.661, 16.1325, 2, 20.6755, 0.237567, 0, 0, 0, 0, 0
197964, 311.661, 16.1325, 2, 20.2589, 0.214348, 0, 0, 0, 0, 0
199603, 314.686, -14.48, 2, 17.0386, 0.0563463, 0, 0, 0, 0, 0
199603, 314.686, -14.48, 2, 20.507, 0.248642, 0, 0, 0, 0, 0
199766, 314.777, 4.30444, 2, 20.2879, 0.243561, 0, 0, 0, 0, 0
199960, 315.14, -4.72639, 2, 18.399, 0.0718765, 0, 0, 0, 0, 0
200163, 315.748, -38.6233, 2, 21.328, 0.254764, 0, 0, 0, 0, 0
200525, 317.276, -73.1661, 2, 21.4051, 0.284769, 0, 0, 0, 0, 0
204577, 322.502, -19.1622, 2, 21.4207, 0.550069, 0, 0, 0, 0, 0
204577, 322.502, -19.1622, 2, 21.0585, 0.467384, 0, 0, 0, 0, 0
206043, 324.737, 20.2514, 2, 20.8192, 0.288263, 0, 0, 0, 0, 0
206860, 326.149, 14.7758, 2, 22.4769, 0.609939, 0, 0, 0, 0, 0
208496, 329.617, -59.0072, 3, 15.2924, 0.0141049, 0, 0, 0, 0, 0
208496, 329.617, -59.0072, 2, 21.4979, 0.292536, 0, 0, 0, 0, 0
208703, 329.56, -5.42306, 2, 14.4308, 0.0103651, 0, 0, 0, 0, 0
211415, 334.543, -53.6172, 2, 22.2986, 0.401564, 0, 0, 0, 0, 0
211415, 334.543, -53.6172, 2, 22.461, 0.423449, 0, 0, 0, 0, 0
211575, 334.533, 0.25, 2, 21.788, 0.336932, 0, 0, 0, 0, 0
213235, 337.49, 4.44528, 2, 20.7764, 0.260738, 0, 0, 0, 0, 0
213429, 337.832, -6.55333, 2, 17.3887, 0.0565208, 0, 0, 0, 0, 0
213429, 337.832, -6.55333, 2, 17.3757, 0.0518264, 0, 0, 0, 0, 0
215121, 341.067, -60.4925, 2, 20.5787, 0.237677, 0, 0, 0, 0, 0
215121, 341.067, -60.4925, 2, 21.4986, 0.331146, 0, 0, 0, 0, 0
215121, 341.067, -60.4925, 2, 20.2162, 0.183625, 0, 0, 0, 0, 0
215121, 341.067, -60.4925, 2, 13.8378, 0.00837957, 0, 0, 0, 0, 0
215121, 341.067, -60.4925, 2, 13.8313, 0.0078392, 0, 0, 0, 0, 0
218261, 346.608, 19.9069, 2, 22.3133, 0.424116, 0, 0, 0, 0, 0
218630, 347.5, -42.8578, 2, 22.6298, 0.881355, 0, 0, 0, 0, 0
218630, 347.5, -42.8578, 2, 22.2538, 0.474199, 0, 0, 0, 0, 0
