3302,8.91542,-47.9989,17,6384672882556933654,AIS,0,0.28628607101815529,0.52838164567947388,GALEX J003541.2-480003,8.9217762894848072,-48.00106262976216,2,213.05,213.05,14.838625,0.0128634088,-999,-999,4212.616,49.8974266,-999,-999,0.0135364039,false,0.00139313051,-99,9.68476,-47.86736,2007-08-17,2007-08-19,2007-08-22,54329.618032407408,54331.993032407408,54334.343425925923,AIS_391,50391,1,35,6384672882554830848,-99,-99,17,39.133613586425781,39.456501007080078,0
3302,8.91542,-47.9989,17,6384672882555879632,AIS,0,0.14987488956469569,0.53072607517242432,GALEX J003540.3-480002,8.918019231532833,-48.000692944427207,1,213.05,213.05,-999,-999,11.81091,0.00189569907,-999,-999,68491.28,119.556961,0.0135364039,false,-99,0.0147531861,9.68476,-47.86736,2007-08-17,2007-08-19,2007-08-22,54329.618032407408,54331.993032407408,54334.343425925923,AIS_391,50391,1,35,6384672882554830848,2030.6529541015625,661.02313232421875,17,-99,-99,0
3302,8.91542,-47.9989,17,6384672882556933721,AIS,0,0.28973151945125181,0.53100669384002686,GALEX J003539.6-475938,8.9151409695415769,-47.994074752713352,2,213.05,213.05,21.14229,0.2813461,-999,-999,12.679038,3.28471255,-999,-999,0.0135364039,false,0.002286493,-99,9.68476,-47.86736,2007-08-17,2007-08-19,2007-08-22,54329.618032407408,54331.993032407408,54334.343425925923,AIS_391,50391,1,35,6384672882554830848,-99,-99,0,0.11778347194194794,0.11265310645103455,0
3302,8.91542,-47.9989,17,6384672871818461983,AIS,0,0.36568931597802151,0.64145022630691528,GALEX J003541.5-480007,8.9233105517604585,-48.001944818656249,1,221.05,0,-999,-999,11.83314,0.00193132379,-999,-999,67103.2,119.335182,0.0135364039,false,-99,0.0111249117,8.00208,-47.82806,2011-10-09,2011-11-02,2011-11-25,55843.843182870369,55867.218182870369,55890.596851851849,AIS_391,50391,1,25,6384672871817412608,1989.4986572265625,709.70025634765625,33,-99,-99,-999
3794,10.1279,-16.5175,18,6380450811594410551,AIS,0,0.4927087633305437,0.31481575965881348,GALEX J004028.6-163059,10.11940370883247,-16.516460046940729,3,128,128,15.5130959,0.0209563356,13.2699213,0.004524293,2263.4126,43.67664,17866.15,74.43066,0.0193022545,false,0.00122148776,0.00219304464,9.82957,-16.66462,2003-10-24,2003-10-24,2003-10-24,52936.697199074071,52936.697199074071,52936.698680555557,AIS_271,50271,1,85,6380450811591262208,529.70172119140625,509.29830932617188,0,21.026247024536133,21.370735168457031,0
4089,10.6146,-65.4683,19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4150,10.8237,-57.4686,20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4222,11.3271,55.2139,21,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4295,11.6296,69.3303,22,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4391,11.44,-47.5531,23,6384672893295397385,AIS,0,0.10785617536283647,0.26089638471603394,GALEX J004545.7-473304,11.44051601975244,-47.551336457097342,3,201.05,201.05,17.5916138,0.0459341668,12.1639671,0.00238313037,333.7002,14.1144018,49478.09,108.575256,0.0110068144,false,0.0009646686,0.007598253,11.16024,-47.73136,2007-08-17,2007-08-19,2007-08-22,54329.619675925926,54331.994675925926,54334.345057870371,AIS_391,50391,1,45,6384672893292249088,1466.943359375,1129.35302734375,130,3.0999488830566406,3.1183176040649414,0
4391,11.44,-47.5531,23,6384672893294352335,AIS,0,0.34133722584238,0.26022344827651978,GALEX J004544.4-473254,11.4350357026222,-47.548502415791333,2,201.05,201.05,21.5227489,0.294515669,-999,-999,8.931042,2.42203641,-999,-999,0.0110068144,false,0.00330296322,-99,11.16024,-47.73136,2007-08-17,2007-08-19,2007-08-22,54329.619675925926,54331.994675925926,54334.345057870371,AIS_391,50391,1,45,6384672893292249088,-99,-99,130,0.082965999841690063,0.079322114586830139,0
